-1.9860947132e+00,1.5621328354e+00,-2.4168040752e+00,-6.2662096024e+00,-4.7626986504e+00,-1.7269718647e+00,-6.4734041691e-01,-2.5057516098e+00,-1.3448830843e+00,-4.2570695877e+00,2.1431269646e+00,-1.7094498873e+00,-1.9654710293e+00,9.8482561111e-01,-2.0759965479e-01,1.7127080262e-01,-1.5533922911e+00,2.8846709728e+00,-2.2706573009e+00,-5.6728667021e-01,2.4512195587e+00,3.1813983917e+00,-3.2459883690e+00,2.6695778966e-01,-3.5210964084e-01,-1.7215211391e+00,-8.3963418007e-01,1.8168136477e-01,-2.0123248100e+00,-3.6502532959e+00,1.2344881296e+00,-2.0780093968e-02,-1.4867975712e+00,1.4897234440e+00,-1.9711306095e+00,-4.2535215616e-01,-3.9947552681e+00,1.1314324290e-01,-2.8318855762e+00,1.7101250887e+00,-1.9420026541e+00,-2.2990925312e+00,-3.9089832306e+00,7.0274621248e-01,-2.8735625744e+00,-4.4659118652e+00,4.8090043068e+00,1.7248933315e+00,-3.4740974903e+00,-1.8286249638e+00,-1.6850994527e-01,-2.2112467289e+00,-1.3710341454e+00,3.2072579861e+00,-2.2922174931e+00,-3.3219478130e+00,8.8470864296e-01,-4.8474496603e-01,-1.3077900410e+00,1.3102889061e+00,-3.7542502880e+00,8.7204265594e-01,-4.2072367668e+00,1.7914248705e+00,-4.9499654770e+00
-1.2392463535e-01,7.1558699608e+00,-9.5840126276e-01,-7.2594537735e+00,-6.7227783203e+00,1.8110114336e+00,2.1049392223e+00,1.3984717131e+00,-1.8933179975e-01,-5.1109461784e+00,1.6445469856e-01,-7.1547222137e-01,-4.7063109279e-01,-5.3360595703e+00,-4.7435674667e+00,-3.3464970589e+00,-4.7133269310e+00,-5.2740764618e+00,-3.7373030186e+00,-4.8631749153e+00,-3.5271177292e+00,-2.5520966053e+00,-5.4621968269e+00,-1.9394356012e+00,-3.6536586285e+00,-2.7459783554e+00,-3.6243660450e+00,-4.2143855095e+00,-5.4480915070e+00,-6.2282524109e+00,-4.2186474800e+00,-4.3914599419e+00,-4.2934961319e+00,-4.4787960052e+00,-4.1765646935e+00,-2.9068698883e+00,-5.4435477257e+00,-5.4195680618e+00,-5.8475627899e+00,-2.8925237060e-01,-1.9651026726e+00,-3.5900187492e-01,7.3192161322e-01,-9.3351411819e-01,1.3638620377e+00,-7.7174079418e-01,-4.4860976934e-01,-1.8360483646e+00,-4.3897995949e+00,5.8574581146e-01,1.7488998175e+00,3.3340901136e-01,2.2865128517e+00,2.7895300388e+00,4.6937707067e-01,-3.0964515209e+00,2.5600137711e+00,1.5477254987e-01,-2.1164648235e-01,1.5094721317e+00,-1.1540594101e+00,3.5277616978e+00,-3.0713312626e+00,-2.0411105156e+00,-5.2562079430e+00
-4.6333713531e+00,-5.7792520523e+00,-5.6948285103e+00,-7.0288944244e+00,-4.9304404259e+00,-9.1741305590e-01,-6.6419587135e+00,-3.5019426346e+00,-6.4483685493e+00,-7.3249959946e+00,-6.2027602196e+00,-6.8035812378e+00,-6.2738604546e+00,-6.2212151289e-01,5.2607059479e-01,8.2550293207e-01,-7.4518758059e-01,7.1091979742e-01,-6.9009709358e-01,4.1853669286e-01,2.6880046725e-01,5.1510852575e-01,-6.8443012238e-01,-4.1474145651e-01,4.6399915218e-01,1.4730206132e-01,-1.2142006159e+00,-2.0501830578e+00,-3.5353612155e-02,-2.7951719761e+00,1.3896317482e+00,-3.7875480950e-02,-4.4967743754e-01,-3.6314492226e+00,-6.6611611843e-01,-3.1664118171e-01,-5.7039217949e+00,-9.9068635702e-01,-6.3057699203e+00,2.2336087227e+00,2.9446587563e+00,2.2741189003e+00,2.4223265648e+00,1.2913874388e+00,2.3072288036e+00,1.4027738571e+00,3.3086762428e+00,1.3056813478e+00,5.4897105694e-01,1.6509523392e+00,2.4473676682e+00,3.1189217567e+00,1.0243529081e+00,1.2354005575e+00,2.3073754311e+00,3.0876687169e-01,1.4792637825e+00,3.3249425888e+00,3.1635301113e+00,4.4110375643e-01,4.8727336526e-01,2.5348742008e+00,-4.5434918404e+00,2.1356167793e+00,-4.2893605232e+00
-4.1455144882e+00,-1.5679380894e+00,-4.0833745003e+00,-6.3838987350e+00,-5.3478221893e+00,-1.4436165094e+00,-2.4975664616e+00,-3.4755961895e+00,-3.7074756622e+00,-5.6163687706e+00,-4.3833518028e+00,-3.8885855675e+00,-3.6796603203e+00,-5.2097177505e-01,-3.2664275169e+00,-7.0220122337e+00,-4.9452114105e+00,-1.3463292122e+00,-5.8030409813e+00,-4.9421963692e+00,-4.9386076927e+00,-3.1376285553e+00,-4.9312815666e+00,-4.4473819733e+00,-1.8463389874e+00,-4.6885542870e+00,-5.7258057594e+00,-1.7825946808e+00,-5.2422461510e+00,-4.8984389305e+00,4.3006977439e-01,-5.2726950645e+00,-5.2112693787e+00,-2.6284987926e+00,-7.1006340981e+00,-5.1379356384e+00,-5.9092950821e+00,-2.9992718697e+00,-7.7982587814e+00,6.0815982819e+00,-9.0679669380e-01,-3.4660234451e+00,-1.8559979200e+00,8.5814886093e+00,-2.7821464539e+00,-2.6460788250e+00,-5.7821225375e-02,5.5073976517e+00,-3.8311009407e+00,-2.4350044727e+00,6.1861038208e+00,-1.8200310469e+00,-9.3808732927e-02,5.1092848778e+00,-3.8100674748e-01,-2.6792919636e+00,7.2424221039e+00,-4.6181726456e-01,-1.5615290403e+00,4.7802410126e+00,-1.6074919701e+00,-1.0311403275e+00,-2.1178979874e+00,3.8203361034e+00,-5.0572066307e+00
1.7344321012e+00,6.0515894890e+00,-4.5140236616e-01,-8.6174936295e+00,-6.9236569405e+00,3.3302840590e-01,2.3474652767e+00,-7.8218245506e-01,1.3556971550e+00,-7.4552664757e+00,5.7389372587e-01,8.7092995644e-01,8.6847347021e-01,-2.3629052639e+00,-4.0798602104e+00,-4.4280009270e+00,-7.7305097580e+00,-8.0632762909e+00,-6.1154012680e+00,-5.2523384094e+00,-5.2273230553e+00,-4.5323076248e+00,-4.2061877251e+00,-7.1718153954e+00,-3.8890657425e+00,-6.4686894417e+00,-4.4449048042e+00,-5.8584599495e+00,-4.8892693520e+00,-5.8314366341e+00,-5.6736845970e+00,-4.5254917145e+00,-5.4167180061e+00,-8.5473117828e+00,-4.6062765121e+00,-5.2025527954e+00,-6.7481474876e+00,-7.7365570068e+00,-4.5413274765e+00,4.3109216690e+00,-4.7698459029e-01,6.6019713879e-01,1.9310134649e+00,9.3404883146e-01,1.7797217369e+00,3.0443189144e+00,1.4269328117e+00,1.5686656237e+00,-4.0912914276e+00,-2.6407535076e+00,3.4676206112e+00,-3.8562014699e-01,1.8496187925e+00,-1.6026811600e+00,-2.8910543919e+00,-2.0297412872e+00,-5.9149622917e-01,2.7421188354e+00,3.2315261364e+00,-3.6919479370e+00,-1.5731536150e+00,6.0285300016e-01,-1.3827959299e+00,-1.5245924890e-01,-4.7477231026e+00
7.9249377251e+00,9.7667608261e+00,-5.0639718771e-01,-6.5331768990e+00,-5.7680201530e+00,5.1570143700e+00,1.5545440912e+00,5.9634380341e+00,1.5357592106e+00,-1.9197630882e+00,5.0418496132e-01,5.1256680489e-01,5.4879856110e-01,-3.3482158184e+00,-2.6039633751e+00,-3.1279869080e+00,-4.3335652351e+00,-4.6197929382e+00,-3.1606442928e+00,-3.0403432846e+00,-1.5310431719e+00,-7.7616405487e-01,-4.0905900002e+00,-4.5539159775e+00,-4.5908317566e+00,-3.5291361809e+00,-3.2406716347e+00,-6.3506871462e-01,-3.5917687416e+00,-4.7163190842e+00,-5.0928559303e+00,-1.2931619883e+00,-3.5699536800e+00,-3.6703550816e+00,-4.0085034370e+00,-1.8893092871e+00,-6.4845676422e+00,-3.5361652374e+00,-5.3265361786e+00,-1.1255300045e+00,-9.3376445770e-01,-1.4077370167e+00,-9.3993294239e-01,-4.5878574252e-01,5.8630794287e-01,-1.5082777739e+00,-2.3271331787e+00,-5.6780499220e-01,-4.4815564156e+00,-3.2147877216e+00,-2.9769146442e-01,-1.8306319714e+00,-6.1297291517e-01,-1.4501795769e+00,-3.4624977112e+00,-5.2995662689e+00,-1.9221385717e+00,6.6673856974e-01,1.0747963190e+00,-2.1056587696e+00,-3.4782576561e+00,5.2599978447e-01,-3.3140285015e+00,-1.8070986271e+00,-5.7044749260e+00
-4.4530496597e+00,-4.7988924980e+00,-6.4132013321e+00,-8.0640287399e+00,-4.7484145164e+00,8.3719658852e-01,-7.0581455231e+00,-4.6831450462e+00,-6.8517618179e+00,-7.9196801186e+00,-6.5760254860e+00,-7.3485007286e+00,-7.1404824257e+00,2.7039948106e-01,2.6713111997e-01,7.1680861712e-01,-8.8365411758e-01,-3.2184886932e-01,-1.0470564365e+00,4.9230632186e-01,-1.1347240955e-01,2.6430153847e+00,-9.4796657562e-01,-1.2190556526e+00,3.6073723435e-01,3.5659797490e-02,-8.5549044609e-01,-2.1806070209e-01,1.8117970228e-01,-3.5812399387e+00,-3.7430062890e-02,-1.0343702137e-01,6.0388881713e-02,-3.4695687294e+00,-1.3545023203e+00,1.0838101059e-01,-6.7105269432e+00,-1.1508461237e+00,-6.7097148895e+00,3.3458094597e+00,2.6555535793e+00,1.5119389296e+00,1.3853936195e+00,3.8760510087e-01,2.0358023643e+00,1.9263501167e+00,2.3664531708e+00,2.5433032513e+00,-1.2966239452e+00,-1.5231031924e-02,1.5820283890e+00,2.9833860397e+00,1.7406399250e+00,1.8381236792e+00,1.2482342720e+00,-1.2980031967e+00,3.2145299017e-02,2.4074311256e+00,3.3492457867e+00,4.5793828368e-01,-5.5837965012e-01,2.6701982021e+00,-4.9348268509e+00,2.1735522747e+00,-4.1808881760e+00
-3.4961624146e+00,-4.7122508287e-01,-3.1351938248e+00,-6.2305555344e+00,-4.7905611992e+00,3.6976444721e+00,-9.2308473587e-01,-2.6067678928e+00,-2.7582378387e+00,-7.2001667023e+00,-4.1155157089e+00,-3.3359606266e+00,-3.0431189537e+00,-5.3588490486e+00,-3.6588225365e+00,-4.4379515648e+00,-3.4837620258e+00,-5.1883978844e+00,-2.1190786362e+00,-4.9930577278e+00,-5.1924486160e+00,-3.3462157249e+00,-3.2741489410e+00,-2.7931149006e+00,-4.6838088036e+00,-2.9658231735e+00,-4.2662830353e+00,-5.3044533730e+00,-4.0731835365e+00,-3.5595166683e+00,-2.8094954491e+00,-2.9785258770e+00,-4.1662230492e+00,-5.0648493767e+00,-4.1650543213e+00,-5.3293156624e+00,-1.1949740648e+00,-5.9125099182e+00,-7.8587532043e+00,1.7521687746e+00,3.4677100182e+00,1.4074084759e+00,6.1420619488e-02,-4.8494759202e-01,6.6582121849e+00,1.2458917499e-01,-1.7721538544e+00,3.9916032553e-01,-2.6239619255e+00,-1.6175820827e+00,3.5655534267e+00,2.5409305096e+00,7.0283732414e+00,-1.0286549330e+00,3.5818572044e+00,-2.3589460850e+00,6.3225383759e+00,7.9856657982e-01,2.5209448338e+00,6.0288448334e+00,3.7931866646e+00,2.2036089897e+00,1.2433208227e+00,-4.4345608354e-01,-2.8574385643e+00
1.6028653383e+00,8.0945587158e+00,1.0727479458e+00,-5.7481222153e+00,-4.4550065994e+00,1.6322060823e+00,4.9580006599e+00,1.0041214228e+00,1.6666475534e+00,-3.9991002083e+00,5.4966795444e-01,1.3754024506e+00,-4.2271412909e-02,-3.7665853500e+00,-2.9079396725e+00,-1.9941096306e+00,-5.4739160538e+00,-6.3663573265e+00,-4.0593981743e+00,-2.6679916382e+00,-4.9928231239e+00,-3.1574721336e+00,-5.1905798912e+00,-6.8302435875e+00,-6.6073493958e+00,-4.8474903107e+00,-2.5166928768e+00,-1.4721868038e+00,-4.6524820328e+00,-5.7903695107e+00,-4.3521332741e+00,-3.6533708572e+00,-5.1534934044e+00,-3.9457199574e+00,-1.0615466833e+00,-3.4907257557e+00,-3.1721961498e+00,-7.2426910400e+00,-3.3327805996e+00,5.6818686426e-04,2.6541326046e+00,-4.4283130765e-01,2.9274556637e+00,1.9551384449e-01,3.6751416326e-01,1.0617421865e+00,-1.3835493326e+00,-1.9439524412e+00,-2.7560822964e+00,-5.5752784014e-01,2.1045191213e-02,1.8812824786e-01,9.1826134920e-01,-1.1128885746e+00,1.0448212624e+00,-3.5816719532e+00,1.6725517511e+00,7.8943449259e-01,2.4105885029e+00,-4.5254192352e+00,-3.6167895794e+00,9.3525356054e-01,-4.3606572151e+00,-2.9223752022e+00,-5.9750113487e+00
-4.3680057526e+00,-4.9543437958e+00,-6.3844671249e+00,-8.0552625656e+00,-5.0243964195e+00,-1.7011009157e-01,-6.4917907715e+00,-4.7675542831e+00,-6.1894488335e+00,-8.1089820862e+00,-5.8757953644e+00,-6.7283382416e+00,-6.3699412346e+00,-1.8914861679e+00,-1.8343119621e+00,8.7475255132e-02,-2.3810031414e+00,-9.8157894611e-01,-2.6767704487e+00,-7.2359925508e-01,-2.2458291054e+00,3.0968928337e+00,-1.4082629681e+00,-2.2124094963e+00,-1.5865936279e+00,-1.0654597282e+00,-2.9451048374e+00,-2.5328409672e+00,-1.1119829416e+00,-4.0972337723e+00,-1.0480203629e+00,-2.3599443436e+00,-1.9301490784e+00,-5.9314637184e+00,-1.1459521055e+00,-1.6371914148e+00,-7.6919817924e+00,-2.3312582970e+00,-7.5895147324e+00,3.1555182934e+00,2.4777781963e+00,2.0057353973e+00,1.8901221752e+00,3.0333590508e+00,1.9523932934e+00,1.6566519737e+00,2.2168307304e+00,2.1458308697e+00,-5.3566837311e-01,3.9639550447e-01,2.0185401440e+00,2.3838202953e+00,2.6714792252e+00,2.5350720882e+00,1.4109674692e+00,2.5773704052e-01,1.2272943258e+00,3.2518858910e+00,4.0000538826e+00,-1.4109835029e-01,6.2446081638e-01,2.8946602345e+00,-5.5054445267e+00,2.0977265835e+00,-4.4496903419e+00
