name,rows,cols,description
L3_10_ln1,19,128,L3_10_ln1
L3_11_q_h0,19,32,L3_11_q_h0
L3_12_k_h0,19,32,L3_12_k_h0
L3_13_v_h0,19,32,L3_13_v_h0
L3_14_scores_scaled_h0,19,19,L3_14_scores_scaled_h0
L3_15_scores_masked_h0,19,19,L3_15_scores_masked_h0
L3_16_attn_probs_h0,19,19,L3_16_attn_probs_h0
L3_17_head_out_h0,19,32,L3_17_head_out_h0
L3_11_q_h1,19,32,L3_11_q_h1
L3_12_k_h1,19,32,L3_12_k_h1
L3_13_v_h1,19,32,L3_13_v_h1
L3_14_scores_scaled_h1,19,19,L3_14_scores_scaled_h1
L3_15_scores_masked_h1,19,19,L3_15_scores_masked_h1
L3_16_attn_probs_h1,19,19,L3_16_attn_probs_h1
L3_17_head_out_h1,19,32,L3_17_head_out_h1
L3_11_q_h2,19,32,L3_11_q_h2
L3_12_k_h2,19,32,L3_12_k_h2
L3_13_v_h2,19,32,L3_13_v_h2
L3_14_scores_scaled_h2,19,19,L3_14_scores_scaled_h2
L3_15_scores_masked_h2,19,19,L3_15_scores_masked_h2
L3_16_attn_probs_h2,19,19,L3_16_attn_probs_h2
L3_17_head_out_h2,19,32,L3_17_head_out_h2
L3_11_q_h3,19,32,L3_11_q_h3
L3_12_k_h3,19,32,L3_12_k_h3
L3_13_v_h3,19,32,L3_13_v_h3
L3_14_scores_scaled_h3,19,19,L3_14_scores_scaled_h3
L3_15_scores_masked_h3,19,19,L3_15_scores_masked_h3
L3_16_attn_probs_h3,19,19,L3_16_attn_probs_h3
L3_17_head_out_h3,19,32,L3_17_head_out_h3
L3_18_attn_concat,19,128,L3_18_attn_concat
L3_19_attn_proj,19,128,L3_19_attn_proj
L3_20_resid_post_attn,19,128,L3_20_resid_post_attn
L3_30_ln2,19,128,L3_30_ln2
L3_31_fc,19,512,L3_31_fc
L3_32_gelu,19,512,L3_32_gelu
L3_33_mlp_proj,19,128,L3_33_mlp_proj
L3_34_resid_post_mlp,19,128,L3_34_resid_post_mlp
90_ln_f,19,128,Final LayerNorm output
91_logits,19,65,Logits for all positions
92_logits_last,1,65,Logits of the last position
93_probs_last_temp1,1,65,Softmax of the last-position logits, temperature 1.0
