1.2812234461e-01,-1.8881989717e+00,-1.8875511885e+00,1.2412235737e+00,-1.0709456205e+00,1.0103580952e+00,1.5719678402e+00,-1.0224927664e+00,-1.2592378855e+00,-1.9944021478e-02,3.2662740350e-01,-1.2790423632e+00,-1.1550344229e+00,-1.6222739220e+00,2.4752848148e+00,3.7672039866e-01,-5.4318583012e-01,-9.3423917890e-02,-9.8848235607e-01,-1.4522993565e+00,-3.2444825768e-01,-9.9184101820e-01,-9.9745434523e-01,2.3811464012e-01,3.9706781507e-01,-5.7129591703e-01,-1.1586909294e+00,8.5258638859e-01,4.6683400869e-01,-1.1734604836e-01,-2.8814935684e-01,-7.9434984922e-01
4.7502428293e-01,-2.1592123508e+00,-1.7654479742e+00,1.0786974430e+00,-1.7626277208e+00,1.0169522762e+00,2.7591023445e+00,-8.7340021133e-01,-3.7949904799e-01,-1.4476463795e+00,2.6791200638e+00,-1.1046208143e+00,-1.7236026525e+00,-8.4941703081e-01,1.8494738340e+00,1.2549352646e-01,-2.3339642584e-01,-6.7843413353e-01,-6.9182491302e-01,-1.5296165943e+00,-3.3143767715e-01,-1.9569067955e+00,-1.2361978292e+00,5.6508523226e-01,-9.1637084261e-03,-9.3189340830e-01,-1.2606486082e+00,1.4654158354e+00,2.9680809379e-01,-3.9451563358e-01,-1.6212316751e+00,7.1776419878e-01
-1.9220258296e-01,-1.4498680830e+00,-1.8751472235e+00,1.3155490160e+00,-1.6665818691e+00,3.6055251956e-01,9.5743131638e-01,-2.9370281100e-01,-1.1160439253e+00,-1.5207124949e+00,1.5495877266e+00,-5.4849690199e-01,-1.4300452471e+00,-7.3080474138e-01,2.1536784172e+00,5.8281576633e-01,-1.2697504759e+00,7.5746428967e-01,-8.1680096686e-02,-2.2793495655e+00,-8.0130212009e-02,-1.0801599026e+00,-1.0682317019e+00,1.7571917772e+00,1.4955701828e+00,-1.7344666719e+00,-5.7403957844e-01,9.6379703283e-01,3.7451550364e-01,-3.3310019970e-01,-1.6377599239e+00,6.5355926752e-01
2.5796068832e-02,-1.4749965668e+00,-1.6165729761e+00,6.1372929811e-01,-1.5404565334e+00,4.7166332603e-01,1.2694139779e-01,-1.0507733822e+00,-4.1747719049e-01,-9.2100441456e-01,7.6560229063e-01,-5.6352216005e-01,-1.1050206423e+00,-3.3656311035e-01,1.4325079918e+00,2.7661728859e-01,-2.0295591354e+00,-5.3232026100e-01,-3.2332929969e-01,-1.6168454885e+00,-4.5088180900e-01,1.1702896655e-01,-4.2130690813e-01,4.5381370187e-01,4.2806857824e-01,-1.8146538734e+00,2.8466022015e-01,2.7343210578e-01,1.0675610304e+00,1.5220735967e-01,-1.5584973097e+00,1.2539845705e+00
-1.1881749630e+00,-1.5249813795e+00,-1.2193160057e+00,1.1622064114e+00,-1.6637309790e+00,1.1989570856e+00,5.8575272560e-01,-1.7865962982e+00,3.8197457790e-01,-1.1080975533e+00,7.1992152929e-01,-8.9305585623e-01,-2.0055673122e+00,-5.5673903227e-01,2.1837406158e+00,5.1401412487e-01,-1.9234874249e+00,2.6061102748e-01,5.3533177823e-02,-2.4444238842e-01,-6.1463315040e-02,-6.7141163349e-01,2.3681101203e-01,5.3959494829e-01,4.6007189155e-01,-1.9918175936e+00,-1.9372464716e-01,9.5694410801e-01,1.8776900768e+00,-8.7603658438e-01,-1.3999444246e+00,9.1716009378e-01
2.1885649860e-01,-1.3068888187e+00,-4.2947939038e-01,1.5487341583e-01,-7.6179879904e-01,1.1028215885e+00,3.7340036035e-01,-1.2700386047e+00,3.0372671783e-02,-1.5416464210e-01,5.2292907238e-01,-1.0245066881e+00,-1.6854605675e+00,-7.4313682318e-01,1.9141271114e+00,-6.4090001583e-01,-1.4476840496e+00,3.5972678661e-01,2.4013377726e-01,1.0801053047e-01,3.1919053197e-01,-1.7319233418e+00,3.0923905969e-01,-8.3855819702e-01,-6.1255586147e-01,-6.7460662127e-01,-6.9078838825e-01,7.5389903784e-01,1.3228909969e+00,-1.2759640217e+00,-4.7538298368e-01,1.4491072893e+00
-6.1987167597e-01,-1.9236876965e+00,-6.9010561705e-01,8.3303761482e-01,-1.3822053671e+00,3.4792956710e-01,5.7086968422e-01,-7.1893197298e-01,-1.4172296524e+00,-1.8415984511e-01,5.2229231596e-01,-8.9376145601e-01,-1.9411822557e+00,-1.0294029713e+00,1.8691895008e+00,-2.8913592920e-02,-8.3918970823e-01,1.8077284098e+00,3.2304412127e-01,7.0094600320e-02,-2.8927171230e-01,-2.3725564480e+00,-2.0434600115e-01,3.5416835546e-01,7.9314202070e-01,-9.7808986902e-01,-1.0812985897e+00,-1.1977421045e+00,1.9926458597e+00,-1.8068253994e+00,-1.1482665539e+00,6.3310116529e-01
-2.4422439933e-01,-2.8621437550e+00,8.6597017944e-02,-1.7821405083e-02,-1.1916642189e+00,-5.2577370405e-01,1.9655284882e+00,-1.6984507442e-01,-1.5918478966e+00,-3.3385697007e-01,1.5680658817e+00,-1.0489586592e+00,-2.1527321339e+00,-1.4856688976e+00,1.4463351965e+00,-5.7589501143e-01,-1.2948418856e+00,-3.5964620113e-01,-9.9072024226e-02,-3.9182081819e-01,-1.5157689154e-01,-2.4524188042e+00,-2.1206107736e-01,1.8711549044e-01,-8.7518960238e-02,-4.5160585642e-01,-1.7821030617e+00,-8.1011086702e-01,9.7472035885e-01,-7.8865259886e-01,-1.5708562136e+00,1.2312028408e+00
-9.2092233896e-01,-2.1430079937e+00,-2.0248588175e-02,1.1584516764e+00,-8.4807413816e-01,7.6718106866e-02,7.8009247780e-01,-6.7328727245e-01,-1.9554226398e+00,2.5637456775e-01,2.0548334122e+00,-2.9517766833e-01,-5.6435096264e-01,-1.1690560579e+00,2.3063590527e+00,-7.4628782272e-01,-1.4408047199e+00,-3.6036673188e-01,-1.4762586355e-01,-8.2708798349e-02,3.3970591426e-01,-8.4792250395e-01,-1.4713814259e+00,8.7716358900e-01,8.5248875618e-01,-8.2000100613e-01,-9.0784078836e-01,-1.7533439398e+00,7.7025836706e-01,-7.7654218674e-01,-1.0400009155e+00,1.5827355385e+00
-1.0898596048e+00,-2.0683281422e+00,-4.0225431323e-01,2.3313043118e+00,-1.1406598091e+00,-8.0926500261e-02,1.8862316608e+00,-6.1778312922e-01,-1.9946449995e+00,-4.4684261084e-01,1.1697467566e+00,-6.1160963774e-01,-1.5629825592e+00,3.4745581448e-02,2.3595495224e+00,5.1771992445e-01,-1.6309900284e+00,-4.3474060297e-01,2.9203775525e-01,3.2362583280e-01,5.6807917356e-01,1.1718536913e-01,-1.6737014055e+00,1.6707938910e+00,1.2454230785e+00,-7.2990894318e-01,-8.5586506128e-01,-1.2431302071e+00,4.9915355444e-01,1.3495173305e-02,-6.2176787853e-01,1.4967048168e+00
