1.4219247103e+00,1.4997494221e+00,1.6556296349e+00,1.5765780210e+00,1.9177697897e+00,1.4364390373e+00,1.7536224127e+00,1.9490091801e+00,1.9526722431e+00,2.0843019485e+00,1.9111487865e+00,1.6293777227e+00,1.2368601561e+00,1.2576203346e+00,8.2444930077e-01,9.4795686007e-01,1.0397077799e+00,9.8456823826e-01,1.3426052332e+00
1.6637636721e-01,-6.7669093609e-01,-7.1991246939e-01,-2.6177835464e-01,1.7535364628e-01,5.7210188359e-02,1.2976376712e-01,-2.9214503244e-02,2.4494297802e-01,-2.5034340099e-02,3.3971190453e-02,3.5467740148e-02,5.6063991785e-01,5.0781720877e-01,3.9795318246e-01,-2.3767368495e-01,-1.8047083914e-01,2.1359917521e-01,3.7922140956e-01
-6.0291171074e-01,-2.1034753323e+00,-1.5429414511e+00,-1.0376644135e+00,-9.5071876049e-01,-1.0153530836e+00,-2.0069551468e-01,-1.2065893412e+00,-2.1522888541e-01,-3.3377698064e-01,-5.4981219769e-01,-1.4813760519e+00,-1.4543795586e-01,1.5231004357e-01,3.0605163425e-02,-1.5240043402e+00,-5.8211040497e-01,1.9181877375e-01,2.0139887929e-01
-1.2728960812e-01,3.4665533900e-01,-3.7086436152e-01,-1.1404039860e+00,-1.4722501040e+00,-1.8126432598e-01,-2.2230683267e-01,2.4563062191e-01,-7.9788988829e-01,-4.1748774052e-01,-7.7044707537e-01,-2.0291359723e-01,-6.3962340355e-01,-3.0394655466e-01,-9.8950117826e-02,2.3120851815e-01,-4.8274770379e-01,-7.2185909748e-01,-8.1279993057e-01
-1.7621592283e+00,-8.5276824236e-01,-7.0990815759e-02,-3.8284319639e-01,-1.8881731033e+00,-1.4623571634e+00,-6.3066887856e-01,-7.5851184130e-01,-1.4308701754e+00,-4.9372941256e-01,-1.4493093491e+00,-9.5739531517e-01,-2.3117315769e+00,-7.3085278273e-01,-1.8710203171e+00,-2.9122537374e-01,4.9805983901e-02,-2.8698581457e-01,-1.3548994064e+00
6.8101233244e-01,1.3208373785e+00,2.1974825859e+00,1.8397322893e+00,1.5435543060e+00,1.8785053492e+00,1.1396344900e+00,9.5334196091e-01,7.7059710026e-01,1.1868789196e+00,7.1362024546e-01,5.9275025129e-01,4.2333629727e-01,2.9735746980e-01,1.7739598115e-04,4.5929518342e-01,7.9531472921e-01,2.3531544209e-01,2.3124553263e-02
-2.8846645355e+00,-3.6814169884e+00,-1.7133389711e+00,-2.0591522753e-01,-3.8337966800e-01,-1.2779762745e+00,-1.1099671125e+00,-2.7917509079e+00,-1.8500993252e+00,-1.1627289057e+00,-1.3556255102e+00,-2.0425467491e+00,-8.0974292755e-01,-7.0473843813e-01,-1.4349359274e+00,-2.1783695221e+00,-2.0571100712e-01,5.8026123047e-01,-3.3675867319e-01
-2.8694705963e+00,-3.1194353104e+00,-2.5821495056e+00,-1.3673881292e+00,-1.1179083586e+00,-8.9819157124e-01,-5.5254071951e-01,-1.5574512482e+00,-1.9917744398e+00,-1.7564879656e+00,-1.8872765303e+00,-1.4003007412e+00,-8.6979293823e-01,-1.9265547395e-01,-8.2062304020e-01,-8.1712961197e-01,-2.0530913770e-01,3.4314998984e-01,-3.5018479824e-01
-2.6847543716e+00,-3.1472430229e+00,-2.3703217506e+00,-1.9726274014e+00,-2.0268936157e+00,-5.1055699587e-01,5.2758407593e-01,-4.5006701350e-01,-1.5916908979e+00,-5.4241764545e-01,-1.6755988598e+00,-1.0305808783e+00,-8.5428357124e-01,6.0261434317e-01,-5.3576189280e-01,-3.3527648449e-01,5.0540482998e-01,5.0028663874e-01,-3.7743952870e-01
-2.4913091660e+00,-3.7846288681e+00,-2.6087470055e+00,-1.7140439749e+00,-1.6547753811e+00,-1.6204601526e+00,2.7828615904e-01,-6.3257026672e-01,2.5210350752e-01,-6.1653751880e-02,-9.4327050447e-01,-2.0093619823e+00,-7.3484456539e-01,5.6709274650e-02,-1.1904638261e-01,-1.1948460340e+00,5.4580789804e-01,1.2893120050e+00,7.8296589851e-01
-2.0279474258e+00,-1.6986252069e+00,-2.5887577534e+00,-2.0859668255e+00,-3.1200013161e+00,-1.0942243338e+00,-1.5427073836e-01,1.3585335016e+00,9.4819527864e-01,9.7000336647e-01,-3.1444883347e-01,6.4100784063e-01,-7.8961116076e-01,-4.2629399896e-01,-7.1581411362e-01,6.3605570793e-01,3.1680992246e-01,1.0142084360e+00,-4.0220829844e-01
-1.7057836056e+00,-2.2389323711e+00,-2.3285150528e+00,-1.8310406208e+00,-2.0229425430e+00,-2.0340712070e+00,-8.2013219595e-01,-2.2122395039e-01,7.4527513981e-01,1.4267297983e+00,8.8077378273e-01,2.1302938461e-01,-4.9943763018e-01,-5.3791451454e-01,-1.1958303452e+00,-1.1740943193e+00,-4.4311231375e-01,3.9674428105e-01,1.7330865562e-01
-2.4356617928e+00,-2.2643446922e+00,-2.1332054138e+00,-1.6931831837e+00,-2.6556720734e+00,-2.4633572102e+00,-1.3909695148e+00,-9.3007212877e-01,-5.5518472195e-01,1.2724075317e+00,9.4235342741e-01,9.9382829666e-01,-3.7938308716e-01,1.7214271426e-01,-1.4853540659e+00,-7.7173262835e-01,-4.2058739066e-01,1.0613078624e-01,-7.7896767855e-01
-2.3605871201e+00,-3.9812512398e+00,-2.6789147854e+00,-1.5394085646e+00,-2.2105994225e+00,-3.3042221069e+00,-2.6227309704e+00,-3.3561437130e+00,-1.3022084236e+00,6.6344387829e-02,6.2360405922e-01,-1.6469307244e-01,7.1485006809e-01,4.1379818320e-01,-5.5715692043e-01,-2.0686259270e+00,-5.0520998240e-01,2.9019901156e-01,-4.2849740386e-01
-2.7386479378e+00,-3.0284540653e+00,-2.8988323212e+00,-1.9188179970e+00,-2.6740052700e+00,-2.4489512444e+00,-2.1811292171e+00,-2.2711091042e+00,-2.5172083378e+00,-7.5771999359e-01,-3.6701390147e-01,7.7916246653e-01,5.0541692972e-01,1.3286436796e+00,-3.0986571312e-01,-6.7233838141e-02,-1.1968394369e-01,3.3912372589e-01,-8.6485278606e-01
-2.0392439365e+00,-2.9019725323e+00,-2.8614542484e+00,-2.2240245342e+00,-2.6425538063e+00,-2.6046161652e+00,-2.2712697983e+00,-2.7136652470e+00,-2.7674040794e+00,-2.2178003788e+00,-1.3794132471e+00,-5.2840662003e-01,2.2117279470e-01,1.1817857027e+00,4.6722367406e-01,-2.4064055085e-01,-4.8935419321e-01,-2.7161580324e-01,-9.0054160357e-01
-2.1921324730e+00,-3.5956363678e+00,-2.5755894184e+00,-2.0103340149e+00,-2.8869147301e+00,-3.2117235661e+00,-2.3489627838e+00,-3.6661863327e+00,-2.7342505455e+00,-2.5673336983e+00,-1.9945878983e+00,-2.1590325832e+00,-2.1257057786e-01,1.0621854067e+00,1.0400518179e+00,-2.5301069021e-01,6.2825632095e-01,8.5149925947e-01,1.6484644264e-02
-1.4996179342e+00,-1.2808277607e+00,-1.4450304508e+00,-1.8235394955e+00,-2.6922426224e+00,-1.8384736776e+00,-2.0257151127e+00,-1.6745764017e+00,-2.7070922852e+00,-2.3958227634e+00,-2.1928474903e+00,-8.5207909346e-01,-4.8474130034e-01,3.9940750599e-01,1.1000453234e+00,1.8223905563e+00,1.4087861776e+00,6.6219127178e-01,-3.0113893747e-01
-3.0159096718e+00,-2.7687637806e+00,-1.9553401470e+00,-1.6029970646e+00,-2.9444880486e+00,-2.6533193588e+00,-1.9409687519e+00,-2.1788170338e+00,-2.8065133095e+00,-2.1987161636e+00,-3.0783057213e+00,-1.7887266874e+00,-2.0908782482e+00,-8.3371184766e-02,-5.1252496243e-01,1.3549517393e+00,2.1856849194e+00,1.8152515888e+00,3.7804562598e-02
